,jobtitle,joburl,company,job_loc,job_search_term,Salary,job_desc,bracket,low_salary,high_salary,Position,senior,junior,Nomention,Freelance,Temporary,Contract,Permanent,Sal_Convert,Sal_Dur,Sal_Low,Sal_High,Sal_Avg
0,Machine learning software developer,https://au.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0D1X-Yzzygi-Ij1MDOaoIfVHhL5jD7yJHo0L5zanT55fRrlscdYz1TtmiLtd-t84_F04A58RBLZHxDFNwEvbMsDdY-RZpfmkBBdwhzpA9_6fUiEoxW7sL_XClLCWkAnowvFwpMQfktmXWAHbPqKM738e-V-4c_yiC3jQFX7c0DsZ43cVpXVxNVhPWSYELp3uucGw49jEtC0uMBKUmY8E1aZVCmLP2E8XMdrAS0UUH6_joU7MeKX2BPXo1XQ56uQUfr7MQcMp2ZqFPSSqVC0QEd-WhO7Bt930onK9qeGDaSbiZn3iBX2G-A1MJZdy3HcW_mjVBtqL04MFkVR9EhpthEpYgQAdD-OpSpsNZ9PEFURuwZ4pePCSzO9-zpsb8Eswu_AGAswu3UdUj0Q_-Q3Yw15blGRubPgSN6o6oRFzsP9UOWe_0UxC8_GwSLeozXeVxJyb_dYjQBDWw==&vjs=3&p=3&sk=&fvj=1,        AInsoff,Sydney+NSW,Data+Scientist,"                $100,000 - $200,000 a year"," -  a yearContractMachine learning software developerCompany: AInsoff, SydneyStart date: February 2019Terms and conditions: on enquiry only.About the company:Ainsoff is an early stage, medical software company designed to produce high impact clinical decision support tools. Our goal is to combine the best of data science, machine learning and clinical decision making.Your role:You will be the primary software developer. You will be working with large clinical datasets and implementing machine learning (ML) techniques. You will have significant autonomy with regard to software development but will work in close discussion with experienced clinicians to produce high impact and meaningful solutions to real medical problems.You will be generously compensated for your work. Please enquire about terms, conditions and salary.Your responsibilities will include:Building end to end machine learning systems on large scale clinical data.Working with the latest ML techniques and tools.Working with IT staff to implement software at leading Australian hospitals.Communicating technical results with healthcare workers and hospital staff.Minimum qualifications:Degree (Bachelors degree in Science or Engineering, Masters or PhD) in either Computer Science or Machine Learning or equivalent practical experience.Demonstrated track record of building and using machine learning models on large data sets.Experience with Python, Tensorflow and SQL.A minimum of 5 years industry experience.Preferred Qualifications:Experience with statistical data analysis (such as linear models, multivariate analysis, predictive modelling and stochastic models).Demonstrated ability to design and implement novel algorithms and methods.Familiarity with healthcare and medical databases.Job Type: ContractSalary: .00 to .00 /yearEducation:Advanced Diploma / Associate Degree (Required)Work Eligibility:The candidate can work permanently with no restriction on hours (Required)",High,0,1,Not Mentioned,0,0,0,0,0,0,1,150000.0,year,100000.0,200000.0,150000.0
1,Hospital Scientist - Cytology,https://au.indeed.com//rc/clk?jk=b0c1bc9da51252a9&fccid=8645ab12ae1d8409&vjs=3,        NSW Health Pathology,Sydney+NSW,Data+Scientist,                $31.62 - $45.81 an hour,".62 - .81 an hourPart-time, PermanentEmployment Type: Permanent Part Time
Position Classification: Scientific Off
Remuneration: .62 - .81
Hours Per Week: 17
Requisition ID: REQ89192

Where you'll be working
Being part of NSW Health Pathology means you’re helping create better health and justice systems every day.
We operate more than 60 laboratories and around 200 collection centres across NSW and conduct over 60 million tests per annum. Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best possible treatment decisions for patients. Our Forensic & Analytical Science Service provides independent, objective analysis to the NSW criminal and coronial justice systems.

What you'll be doing
Responsible for delivering a range of operational laboratory activities including the coordination and provisions of scientific and technical training and the ongoing review, development and quality management of laboratory practices to ensure compliance with operational standards and procedures, quality standards and continual process improvement.

Bachelor Degree or higher degree in Science/Biomedical Science or an equivalent qualification from a recognised tertiary institution
Demonstrated knowledge and experience in the delivery of pathology services relevant to the laboratory, including use of Laboratory Information Systems, Patient Systems and Quality Control Systems and computer programs such as Microsoft Office suite
Customer focused approach displaying well-developed interpersonal skills and good oral and written communication skills including the ability to communicate effectively with customers, patients and clinical and laboratory staff, along with report writing skills, statistical evaluation of scientific data and the ability to effectively communicate policies and procedures
Ability to work in a responsible and efficient manner and to manage competing priorities to meet deadlines
Demonstrated ability to work in a team environment while working autonomously to deliver results within specified timeframes and contribute to a range of diagnostic skills relevant to the laboratory
Display initiative, problem solving and analytical skills including an ability to apply established principles in a pathology laboratory and investigate and resolve general and complex issues within the laboratory environment
Sound understanding of legislation, policies and requirements that impact the laboratory environment including work health and safety and privacy requirements
Demonstrated recent experience in cytology screening and diagnosis in non-gynaecological cytology, as well as cyto-preparation and FNA attendance.


This is a Category A position. All Category A applicants must read and understand Policy Directive PD2011_005 Occupational Assessment, Screening and Vaccination Against Specified Diseases. All new recruits must agree to comply with the requirements outlined in this policy. New recruits must provide evidence against specified diseases and comply with the requirements of this policy at their own cost prior to appointment.

An eligibility list will be created for future permanent part time, temporary and casual vacancies.


Applicants may be required to undergo a functional assessment prior to appointment


This position is a permanent position. To be eligible for permanent appointment to a position in NSW Health, you must have an Australian citizenship or permanent Australian residency. Please note: A person who is not an Australian citizen or a permanent resident is only eligible for temporary employment for a period not longer than the duration of their current visa.

Need more information?
 1) Click here for the Position Description
 2) Find out more about applying for this position
For role related queries or questions contact Karen Mackenney on Karen.Mackenney@health.nsw.gov.au

Applications Close: 17 February 2019",Low,1,0,Not Mentioned,0,0,0,0,0,0,1,77430.0,hour,31.62,45.81,38.715
2,Data Scientist,https://au.indeed.com//rc/clk?jk=bddee12fba022c7f&fccid=734e88fca63788fc&vjs=3,        Freelancer.com,Sydney+NSW,Data+Scientist,"                $65,000 - $110,000 a year"," -  a yearEleven-time Webby award-winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace. We connect millions of employers to freelancers across the globe, and every day thousands of jobs are described, bid on, negotiated, and managed through our site.
We think it is pretty cool that our dataset details a real life economy, where work is undertaken in every area you can think of. From design, writing, data entry and software development; through to sales, marketing, accounting and legal services - even NASA uses us!
Freelancer's data science team is world class. We have a team of data scientists across three offices, with backgrounds in mathematics, physics, neuroscience, computer science, and more. We have data science infrastructure that runs a sophisticated dashboard and multi-variate testing framework.
You have a strong maths and/or stats background. You know how to take your code to O(log(n)), and when not to bother. You love to reach deep into a SQL dataset and pull out an interesting story. You dream in probability densities, not expectation values. You can smell a badly-designed experiment from a mile away.
If this sounds like you, you will love life as a data scientist at Freelancer. We are a data-driven company- data trumps opinions. Every new feature gets A/B tested and analysed with our bayesian methods. We use machine learning in many places across the company, from improving funnels with sophisticated predictors to fraud and spam detection.
You will work in a product team and sit at the core of the decision making process. You will scour our well-organised dataset for trends and potential opportunities, and be responsible for designing and analysing A/B tests. And from time to time, you will invent new and awesome ways to use our dataset to make the site better.

Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements
Tertiary Degree in Maths, Stats, Physics, Computer Science, or other quantitative discipline. 1st class Honors are preferred, and MS or PhD a plus.
Excellent python, pandas, R, SQL and scripting.
Ability to process complex datasets and transform them into business decisions.
Understanding of Internet-scale systems (scalability into tens of millions of users).
Extensive knowledge and experience in statistics, machine learning and big data analytics a plus.
Proven experience as a data scientist or analyst
Experience in data mining
Understanding of machine-learning and operations research
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
Benefits
This won't be a cog-in-the-machine job; you will be joining a global technology company that is a meritocracy, so if you are looking to make a difference and be rewarded for your efforts, this is the place for you.
We also offer a fun atmosphere working with smart people in an awesome office with fully-stocked kitchens, social events, hackathons, and more.
For more information see www.freelancer.com/careers",Low,1,0,Not Mentioned,0,0,0,1,0,0,0,87500.0,year,65000.0,110000.0,87500.0
3,Data Scientist - Higher Education,https://au.indeed.com//rc/clk?jk=65d1c1f374d81869&fccid=431d2ca6de573e38&vjs=3,        Hudson,Sydney+NSW,Data+Scientist,                $110 - $120 a day," -  a dayTemporary, Contract2 x Data Scientist Positions Open
12 month contract - view of permanent
110 - 120 + super
2 x Data Scientist Positions Open
12 month contract - view of permanent
110 - 120 + super
2 Positions open as data scientist within the higher education sector.

Growing team with huge possibility of career progression

About the role:

My client is setting up the data science function inside the analytics team and requires 2 strong data scientists. The role is initially a 12 month fix term contract, view to become permanent.

What do you need:

Have commercial experience with advance analytics tools (especially R and Phyton + SQL and Alteryx)
Have experience in having set up a similar function before
Have excellent communication skills: the role will involve communicating with a diverse range of stakeholders
Interested? Please apply below.

Contact maria.ercules@hudson.com if you want to know more.",Low,1,0,Not Mentioned,0,0,0,0,0,0,1,28750.0,day,110.0,120.0,115.0
4,Statistician / Epidemlologist,https://au.indeed.com//rc/clk?jk=23eda781184d6b2c&fccid=f7b9aa4f9b3d1c21&vjs=3,        University of New South Wales,Sydney+NSW,Data+Scientist,"                $93,000 - $101,000 a year"," -  a yearContractJob no: 496142
Work type: Fixed term / Full time
Location: Sydney, NSW
Categories: Research Administration support
Statistician/Epidemiologist
The Kirby Institute for Infection and Immunity in Society
UNSW Medicine
Ref 496142


One of the Asia-Pacific’s leading research intensive Universities
Strong regional and global engagement
Cutting edge facilities and equipment
At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.

The Kirby Institute is a leading global research institute dedicated to the prevention and treatment of infectious diseases. Established in 1986 in response to the then emerging HIV epidemic, the Kirby Institute now contributes to knowledge on a broad range of diseases, including viral hepatitis and sexually transmissible infections.

#LI-DNI

About the role

K-K plus 9.5% superannuation and leave loading
Fixed Term until 30 September 2019
Full-time (35 hours a week)
The position of Statistician/Epidemiologist is to plan, develop and coordinate systems for the conduct of statistical analyses to support the implementation studies of the role out or pre-exposure prophylaxis for the prevention of HIV, including EPIC- NSW, PREPIT WA, and related studies.

About you

To be successful in this role you will have:
Relevant qualifications in biostatistics, epidemiology, or a related field; and/or equivalent level of related work experience.
Epidemiological design and analysis skills across diverse and challenging datasets.
Demonstrated ability to undertake complex data collection and analysis projects.
Demonstrated experience in managing competing priorities and diverse project requirements to ensure a high standard of work is delivered within required timeframes in a high-volume work environment.
High level experience in data analysis, including experience using STATA or a similar statistical program and reporting skills. Experience with merging datasets is desirable.
You should systematically address all the selection criteria in your application.

Contact: Professor Andrew Grulich

E: agrulich@kirby.unsw.edu.au

T: 02 9385 0900

Applications close: 11:00pm 15th February 2019

Find out more about working at UNSW at jobs.unsw.edu.au

UNSW is an equal opportunity employer committed to diversity

#LI-DNI

Position Description

Advertised: 01 Feb 2019 AUS Eastern Daylight Time
Applications close: 15 Feb 2019 AUS Eastern Daylight Time",Low,1,0,Not Mentioned,0,0,0,0,0,1,0,97000.0,year,93000.0,101000.0,97000.0
5,Data Scientist,https://au.indeed.com//rc/clk?jk=a6e9dbf5f7202721&fccid=ea1f64b071408cc5&vjs=3,        Talent International,Sydney+NSW,Data+Scientist,"                $80,000 - $120,000 a year"," -  a yearData Scientist - Cognitive Science & AI

Join this specialist team of a consultancy whose vision is to drive better business outcomes through cognitive science and AI

They are now looking for a Data Scientist to join their growing team. You'll join a collaborative team of data lovers including architects, senior and lead data scientists, who are all passionate about solving client problems using a range of methodologies (e.g. AI, machine learning, cognitive technologies).

You will extract, transform and analyse data using a variety of common analytical tools and statistical techniques. You will then be tasked with presenting your findings internally in a clear and concise manner.

Qualifications

An undergraduate (BS) or postgraduate (MS) degree in Statistics, Mathematics, Physics, Econometrics, Operations Research, Industrial Engineering or equivalent
Professional work experience in data science, data integration or data visualisation (years required dependent on salary)
Experience with SQL and relational databases
Experience with statistical programming languages (e.g. R, Python, SAS)
Experience working with 1 or more data visualization tools like Tableau, PowerBI, Rshiny, GGPlot, Qlik, Alteryx, Flask, or D3 used to tell the ""data' story
Excellent written and oral communication skills; must be capable of effectively articulating technical concepts to non-technical audiences

Preferred Qualifications

Past management consulting experience

To apply or for further information, please contact Zoe Crouch at Talent International: zoe.crouch@talentinternational.com.",Low,1,0,Senior,1,0,0,0,0,0,0,100000.0,year,80000.0,120000.0,100000.0
6,Senior Hospital Scientist,https://au.indeed.com//rc/clk?jk=c41aa8a2a5c71fc7&fccid=8645ab12ae1d8409&vjs=3,        NSW Health Pathology,Sydney+NSW,Data+Scientist,"                $97,719 - $129,279 a year"," -  a yearPermanentEmployment Type: Permanent Full Time
Position Classification: Senior Scientific Officer
Remuneration:  - 
Hours Per Week: 38
Requisition ID: REQ89524
Location: Westmead

This position ensures Laboratory support for all sections within the Microbiology Department including washup, sterilisation, ordering as appropriate. The primary role is to manage the supply of common and boutique Microbiology media to internal and external clients and assign appropriate costings and billing processes. The team is within NSW Health Pathology and performs a dynamic and interactive role to ensure public health and diagnostic support within NSW Health Pathology based at Westmead Hospital - a world class teaching precinct.

Where you'll be working
The role is based at Westmead Hospotal within NSW Health Pathology. The Department includes Reference Laboratories for public health diagnostics [including TB, Pneumococcal, Parasitology, Enteric Reference Laboratory, Mycology, Antimicrobial Resistance], Virology, Serology, Bacteriology, a PC4 Laboartory and the newer Pathogen Genomics section. It is a short walk to the train station, T-Ways and the upcoming newer transport options.

What you'll be doing

Responsible for the management of scientific, technical and support staff, all testing and associated activities and logistics for the assigned laboratory. The position oversees the quality, cost and operational integrity of the department, regulatory compliance and accreditation of laboratory services in the department, human resource, business and resource management.

Bachelor Degree or higher degree in Science/Biomedical Science or an equivalent qualification from a recognised tertiary institution
Customer focused approach displaying well-developed interpersonal skills and good oral and written communication skills including the ability to communicate effectively with customers, patients and clinical and laboratory staff, along with negotiation skills, report writing skills, statistical evaluation of scientific data and the ability to effectively communicate policies and procedures
Proven leadership and management skills and experience including operational management, budget management, staff management and resource management
Advanced knowledge of Pathology Laboratory Information Systems including supervision of e-based Quality Management Systems
Extensive experience working in the laboratory including experience in staff training and competency assessment
Demonstrated understanding and sound knowledge of accreditation frameworks, relevant standards and quality systems
Manage the supply of common and boutique Microbiology media to internal and external clients
Ensure Laboratory support for all sections within Microbiology including washup, sterilisation, ordering as appropriate
This is a Category A position. All Category A applicants must read and understand Policy Directive PD2011_005 Occupational Assessment, Screening and Vaccination Against Specified Diseases. All new recruits must agree to comply with the requirements outlined in this policy. New recruits must provide evidence against specified diseases and comply with the requirements of this policy at their own cost prior to appointment.

An eligibility list will be created for future permanent full time / part time, temporary and casual vacancies.

This position is a permanent position. To be eligible for permanent appointment to a position in NSW Health, you must have an Australian citizenship or permanent Australian residency. Please note: A person who is not an Australian citizen or a permanent resident is only eligible for temporary employment for a period not longer than the duration of their current visa.

Applicants may be required to undergo a functional assessment prior to appointment.

Need more information?
 1) Click here for the Position Description
 2) Find out more about applying for this position
For role related queries or questions contact Ian Carter on Ian.Carter@health.nsw.gov.au

Applications Close: 17 February 2019",High,0,1,Senior,1,0,0,0,0,0,1,113499.0,year,97719.0,129279.0,113499.0
7,Machine learning software developer,https://au.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0D1X-Yzzygi-Ij1MDOaoIfVHhL5jD7yJHo0L5zanT55fRrlscdYz1TtmiLtd-t84_F04A58RBLZHxDFNwEvbMsDdY-RZpfmkBBdwhzpA9_6fUiEoxW7sL_XClLCWkAnowvFwpMQfktmXWAHbPqKM738e-V-4c_yiC253c000UXadc_xkqzSy6I_G3h32IegZF7kE5nIX5erxdg5wCEAK3QvEepGpAq6R2XnitWZfZGbQHb5L_Yr1ukLH8uzIoOOyjtTwkT5m5CiWxMTgmhsHCOAAhsvEiPOoElBzmjz9eS1sN6RCgGR-fRzsiwleLye2PjKtkZ1BE8JS-wENr1lb_NdCSTuuYCBQBI6cs9X97-a21DozGuRllNQE-T5qZvqmiQ5V1YLk3okKoHTKqMqw1oSZypOHlSn7etrW8xV1DByhFxgYf9gTWumiOKqdwknh2ouP4gXoQrz0g==&vjs=3&p=5&sk=&fvj=1,        AInsoff,Sydney+NSW,Data+Scientist,"                $100,000 - $200,000 a year","Sydney NSWContract -  a yearMachine learning software developerCompany: AInsoff, SydneyStart date: February 2019Terms and conditions: on enquiry only.About the company:Ainsoff is an early stage, medical software company designed to produce high impact clinical decision support tools. Our goal is to combine the best of data science, machine learning and clinical decision making.Your role:You will be the primary software developer. You will be working with large clinical datasets and implementing machine learning (ML) techniques. You will have significant autonomy with regard to software development but will work in close discussion with experienced clinicians to produce high impact and meaningful solutions to real medical problems.You will be generously compensated for your work. Please enquire about terms, conditions and salary.Your responsibilities will include:Building end to end machine learning systems on large scale clinical data.Working with the latest ML techniques and tools.Working with IT staff to implement software at leading Australian hospitals.Communicating technical results with healthcare workers and hospital staff.Minimum qualifications:Degree (Bachelors degree in Science or Engineering, Masters or PhD) in either Computer Science or Machine Learning or equivalent practical experience.Demonstrated track record of building and using machine learning models on large data sets.Experience with Python, Tensorflow and SQL.A minimum of 5 years industry experience.Preferred Qualifications:Experience with statistical data analysis (such as linear models, multivariate analysis, predictive modelling and stochastic models).Demonstrated ability to design and implement novel algorithms and methods.Familiarity with healthcare and medical databases.Job Type: ContractSalary: .00 to .00 /yearEducation:Advanced Diploma / Associate Degree (Required)Work Eligibility:The candidate can work permanently with no restriction on hours (Required)",High,0,1,Not Mentioned,0,0,0,0,0,0,1,150000.0,year,100000.0,200000.0,150000.0
8,Senior Data Scientist - Location & Segment Analytics,https://au.indeed.com//rc/clk?jk=59c4c0b477e7358e&fccid=ea1f64b071408cc5&vjs=3,        Talent International,Sydney+NSW,Data+Scientist,"                $145,000 - $155,000 a year"," -  a yearSenior Data Scientist - Northern Suburbs
Location & Segment Analytics

This is an opportunity with the data analytics subsidiary of a large telecommunications organisation. With a deep understanding of telco network data, they have developed innovative advanced data science methods to harvest huge amounts of big data for insights about the population and places they visit. Established in Australia since the beginning of last year, they have access to 1/3 of the population and have used this to monetise the location of people and how they move.

They are now looking for a Senior Data Scientist to perform advanced business and marketing data analytics with the most advanced software tools.

What you'll do
Work with key stakeholders throughout the organisation to identify opportunities for leveraging data to drive business solutions
Develop and/or uses advanced algorithms and statistical predictive models and determines analytical approaches and modelling techniques to evaluate scenarios and potential future outcomes
Use strong programming skills to explore, analyse and interpret large volumes of data in various forms, and solve complex business problems
Demonstrate strong ability to communicate technical concepts and implications to colleagues, managers and stakeholders

What you'll need
5+ years' experience in using mathematics, statistics, modelling, business analysis and technology to transform high volumes of complex data into advanced analytical solutions
Expertise in using R or Python to manipulate large data sets and develop statistical models
Expertise in data management in an Hadoop environment, including use of Hive
Excellent problem solving skills, critical thinking and conceptual thinking abilities
Expert communication skills and stakeholder engagement experience

To apply or for further information, please contact Zoe Crouch at Talent International: zoe.crouch@talentinternational.com.",High,0,1,Senior,1,0,0,0,0,0,0,150000.0,year,145000.0,155000.0,150000.0
9,Senior Data Scientist,https://au.indeed.com//rc/clk?jk=b8bc95115ba31023&fccid=893f9f3cd9fe4472&vjs=3,        Morgan McKinley,Sydney+NSW,Data+Scientist,"                $120,000 - $160,000 a year"," -  a yearPermanentJoin an innovative data and analytics team in the Australian health care industry.

Salary up to k base

Location Sydney- Python / R / SQL

My client, a well-established Australian Health organisation is looking for an experienced Data Scientist to join their analytics team. In this team you will be exposed to a variety of data sets from departments across the business. You will be responsible for solving analytical problems in optimisation, image processing and segmentation. To succeed in this role, you will need to be versatile with a broad knowledge of advanced analytical techniques, being passionate about health sector is also a key requirement.

Responsibilities:

Interpret data from disparate of sources, analyse results using statistical techniques.
Develop Machine Learning models to gain insights and provide information around trends and patterns.
Work closely with the innovation team to utilise advanced analytics.
Build and present easy to use visualisations in tools such as; Tableau or Power BI.
Qualifications:

Tertiary qualification in a Quantitative discipline (Economics, Statistics, Mathematics)
Strong working knowledge in a cloud environment AWS / Azure
Statistical programming experience in Python / R and SQL
Excellent working knowledge of Tableau / Power BI
Please apply immediately with an up to date CV, or to hear more please get in touch (02) 8986 3139 or jpope@morganmckinley.com.au

PYTHON / AWS / EXCEL / SQL / R / AZURE / INSIGHT / ANALYST / MODELLING / RANDOM FORESTS / MACHINE LEARNING

Morgan McKinley is acting as an Employment Agency in relation to this vacancy.",High,0,1,Not Mentioned,0,0,0,0,0,0,1,140000.0,year,120000.0,160000.0,140000.0
